REGION	MEASURE	INDEX	TSEST	FREQUENCY	TIME_FORMAT	obsTime	obsValue	city	obsValuerel	up
4	1	30014	10	Q	P3M	1988-01-01T00:00:00Z	46.7	Adelaide	1.08857808857809	FALSE
4	1	30014	10	Q	P3M	1988-04-01T00:00:00Z	47.1	Adelaide	1.07785926041504	FALSE
4	1	30014	10	Q	P3M	1988-07-01T00:00:00Z	48.6	Adelaide	1.09224639901931	FALSE
4	1	30014	10	Q	P3M	1988-10-01T00:00:00Z	49	Adelaide	1.07972756410256	FALSE
4	1	30014	10	Q	P3M	1989-01-01T00:00:00Z	50.3	Adelaide	1.09765411893071	FALSE
4	1	30014	10	Q	P3M	1989-04-01T00:00:00Z	50.5	Adelaide	1.07498790517658	FALSE
4	1	30014	10	Q	P3M	1989-07-01T00:00:00Z	52	Adelaide	1.08241082410824	FALSE
4	1	30014	10	Q	P3M	1989-10-01T00:00:00Z	52.5	Adelaide	1.07302118171683	FALSE
4	1	30014	10	Q	P3M	1990-01-01T00:00:00Z	53.2	Adelaide	1.06798065516927	FALSE
4	1	30014	10	Q	P3M	1990-04-01T00:00:00Z	54.1	Adelaide	1.06892990255512	FALSE
4	1	30014	10	Q	P3M	1990-07-01T00:00:00Z	54.7	Adelaide	1.07326644370123	FALSE
4	1	30014	10	Q	P3M	1990-10-01T00:00:00Z	56.3	Adelaide	1.07657540199913	FALSE
4	1	30014	10	Q	P3M	1991-01-01T00:00:00Z	56.8	Adelaide	1.08798049714858	FALSE
4	1	30014	10	Q	P3M	1991-04-01T00:00:00Z	57.3	Adelaide	1.09569752281617	FALSE
4	1	30014	10	Q	P3M	1991-07-01T00:00:00Z	58.5	Adelaide	1.11298482293423	FALSE
4	1	30014	10	Q	P3M	1991-10-01T00:00:00Z	58.7	Adelaide	1.10560335602072	FALSE
5	1	30014	10	Q	P3M	1982-01-01T00:00:00Z	25.6	Perth	1	TRUE
5	1	30014	10	Q	P3M	1982-04-01T00:00:00Z	26.7	Perth	1.01979166666667	TRUE
5	1	30014	10	Q	P3M	1982-07-01T00:00:00Z	27.6	Perth	1.01859662576687	TRUE
5	1	30014	10	Q	P3M	1982-10-01T00:00:00Z	27.8	Perth	0.995442708333333	TRUE
5	1	30014	10	Q	P3M	1983-01-01T00:00:00Z	28.1	Perth	0.985650510204082	TRUE
5	1	30014	10	Q	P3M	1983-04-01T00:00:00Z	28.4	Perth	0.97625	TRUE
5	1	30014	10	Q	P3M	1983-07-01T00:00:00Z	29	Perth	0.980073735955056	TRUE
5	1	30014	10	Q	P3M	1983-10-01T00:00:00Z	29.2	Perth	0.9625	TRUE
5	1	30014	10	Q	P3M	1984-01-01T00:00:00Z	29.5	Perth	0.977746212121212	TRUE
5	1	30014	10	Q	P3M	1984-04-01T00:00:00Z	29.9	Perth	0.98828125	TRUE
5	1	30014	10	Q	P3M	1984-07-01T00:00:00Z	30.1	Perth	0.981410907859079	TRUE
5	1	30014	10	Q	P3M	1984-10-01T00:00:00Z	30.7	Perth	0.987591911764706	TRUE
5	1	30014	10	Q	P3M	1985-01-01T00:00:00Z	31	Perth	0.984086411609499	TRUE
5	1	30014	10	Q	P3M	1985-04-01T00:00:00Z	31.6	Perth	0.97986469072165	TRUE
5	1	30014	10	Q	P3M	1985-07-01T00:00:00Z	32.2	Perth	0.975834382871537	TRUE
5	1	30014	10	Q	P3M	1985-10-01T00:00:00Z	33.5	Perth	0.995177469135803	TRUE
5	1	30014	10	Q	P3M	1986-01-01T00:00:00Z	34.3	Perth	0.996791968599034	TRUE
