"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Employment termination payments (ETP) - taxable component - ETP death benefits not dependant"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6452159	20846424	13592145
"Employment termination payments (ETP) - taxable component - multiple"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23006	32704	30524
"Employment termination payments (ETP) - taxable component - multiple"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	319311304	604010975	608169623
"Employment termination payments (ETP) - taxable component - transitional termination payment"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8403	6	1
"Employment termination payments (ETP) - taxable component - transitional termination payment"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213275519	17798	7694
"Total employment termination payments (ETP) - taxable component"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155290	203595	185300	190340	227897	256106	247705
"Total employment termination payments (ETP) - taxable component"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1811043573	2828466915	2480134847	2499594523	3565663141	3586454614	3757352979
"Australian Government allowances and payments like newstart, youth allowance and austudy payment"	"no."	376755	374345	389145	416365	563770	573755	547305	619795	714260	560515	799565	751720	912940	1030905	1139715	1184240	1321625	1443560	1383590	1266080	1176605	1164715	1184995	1185135	1146625	1081715	1046890	1013180	996215	971880	968495	1032915	1013300	973894	935412	922538
"Australian Government allowances and payments like newstart, youth allowance and austudy payment"	"$"	369950000	376346000	427233000	516585000	940266000	1143755000	1117208000	1508391000	1760166048	1.401e+09	2.197e+09	2.164e+09	2.955e+09	3.907e+09	4.493e+09	4.836e+09	4.501e+09	4893226896	4804597220	4447839856	4361728549	4261121395	4509424510	4831909870	4891684504	5097220637	4899335998	4727712212	4703237466	4714811245	4587549014	5243459980	5262820581	5093258045	4987183526	5225311512
"Australian Government pensions and allowances"	"no."	387700	390780	436510	468975	487260	505085	503070	553615	598340	657030	698420	659860	647720	680995	669450	686705	714795	791930	828065	759105	730170	734575	676575	673010	691840	704395	740470	760900	761470	762615	735820	742800	728165	728754	697168	645097
"Australian Government pensions and allowances"	"$"	790362000	829115000	996250000	1159757000	1398263000	1459831000	1601206000	1945987000	2260545000	2.875e+09	3.244e+09	3.24e+09	3.33e+09	3.483e+09	3.439e+09	3.573e+09	3.76e+09	4277423596	4643405772	4212576407	4093157845	4240444377	4068202062	4186105779	4487267412	4953282164	5391775429	5575749918	5783036343	5881763543	5904062312	6255343527	6605466280	6839677105	6543638260	6532867406
"Australian annuities and superannuation income streams - taxable component - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112395	122360	125770	132170	138053	138257	135716
"Australian annuities and superannuation income streams - taxable component - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1825376667	1797153433	1656668147	1727258742	1879364950	1786712062	1909103332
"Australian annuities and superannuation income streams - taxable component - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	215910	211050	210330	215230	216114	213694	209187
"Australian annuities and superannuation income streams - taxable component - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4826833808	5019510848	5174301649	5585800471	5710820443	5861799015	5996479825
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1145	955	835	1180	883	1171	870
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5533501	7343754	5861145	5704182	4353467	6236587	4135307
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2215	1175	935	1480	1254	1425	1159
"Australian annuities and superannuation income streams - lump sum in arrears taxable component - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8693045	10021127	9343065	15134387	11977256	11360593	13349551
"Australian superannuation lump sum payments - taxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92350	88910	95535	103970	100199	102062	97379
"Australian superannuation lump sum payments - taxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2188028079	2032889806	1974000217	2260344106	2528997612	2655690843	2561838549
"Australian superannuation lump sum payments - untaxed element"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13130	11615	14740	15650	15175	14765	12863
"Australian superannuation lump sum payments - untaxed element"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279888825	307815768	319833401	375036966	423488126	423504137	387981539
"Attributed personal services income"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7480	7155	7660	7395	7245	7195	7600	8785	9155	14560	14965	16251	15268	14018
"Attributed personal services income"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	156525007	148749122	173180276	183928936	188174560	209662811	233089041	285148928	307415672	430956682	524569872	647866230	674514591	635279267
"Total tax withheld2"	"no."	5172940	5449150	5731260	5890925	5798180	5845320	6099520	6407005	6532545	6939170	7303760	7447615	7375940	7287470	7278175	7416350	7634555	8081050	8149885	8245910	8309040	8612750	8736520	8801570	8938735	9146385	9406090	9635260	9958920	10320750	10134750	10203200	10400350	10581375	10402282	10220177
"Total tax withheld2"	"$"	10156840000	12302871000	14609565000	18037070000	19634850000	21244241000	23985871000	27431088000	30077251000	3.3786e+10	3.9273e+10	4.0114e+10	4.1181e+10	4.1467e+10	4.3e+10	4.4835e+10	4.818e+10	54609660282	59189562303	63929997287	68488538664	75579570655	72341415966	76449721245	81695017443	87013635182	93878245342	98767865646	102482396766	109532060987	110278329659	114919912445	124290853518	136531011154	142317133104	144718105384
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Credit for PAYG income tax instalments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1450395	1432370	1377790	1304950	1271060	1345369	1410010	1404983
"Credit for PAYG income tax instalments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12838780137	13580876574	13543722002	13660630487	14237414643	16775839533	18017690716	18212707557
"Gross interest"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	4646215	5435580	5646385	5874335	6022305	5907990	5695450	5634645	5718455	6003285	5821715	5105835	4815925	4697850	4532210	4111485	4039060	4161355	4555760	4616330	5109960	6074695	6437015	6541230	7133065	7497290	7415354	7335773
"Gross interest"	"$"	NA	2289706000	2771047000	3907659000	NA	5075827000	5649374000	7206195000	8710649000	8.486e+09	9.242e+09	1.2629e+10	1.1621e+10	9.009e+09	6.591e+09	5.487e+09	5.848e+09	7751738850	7484402239	6175396307	5607148478	5676501198	6715224132	5885261161	6421899557	7535089074	8976549721	10189869463	12076065771	14286148659	14973906992	11778632480	16009412893	17736668450	15529754377	13356279205
"Tax file number amounts withheld from gross interest"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	136830	141275	120730	123380	135035	162480	183075	228055	399820	426355	418210	547720	611651	573763	557109
"Tax file number amounts withheld from gross interest"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29266338	37669935	31815449	36869489	43775841	52545479	62567050	76381268	109356861	103599291	86298846	123286806	130237232	109121139	100115076
"Dividends - unfranked amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1196090	1212515	1116790	1178520	1209190	1169158	1136350	1060280
"Dividends - unfranked amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	828994995	854403986	789588438	940225074	1067325829	1003129646	904652071	940909109
"Dividends - franked amount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	495790	612020	598010	632485	697695	768875	907255	985830	1115900	1329200	2002435	2446470	2672570	3311650	3274065	3219000	3183850	3136620	3110985	3146410	3165800	3160605	3166155	3145155	3079234	3021298	2861982
"Dividends - franked amount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.101e+09	2.976e+09	1.807e+09	1.948e+09	1.836e+09	2.108e+09	2.52e+09	3.776e+09	4509210922	4770776522	5490587848	5998744802	6959419349	9142010570	8286281513	9798695016	11502618710	13451422861	15319337225	18865462410	19880049359	20232654778	18548022079	20697126192	20534949550	21331949584	22811978545
"Tax file number amounts withheld from dividends"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114880	111510	79300	87310	79910	70465	62275	61430	70670	64970	79595	89865	107367	80697	70164
"Tax file number amounts withheld from dividends"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12490865	12056718	7002899	8069729	5653853	6681271	6098508	7160786	6841506	7663839	11422572	11469108	11705450	8111961	6614798
"Dividends - franking credit"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	561390	716170	714175	757225	837670	926045	1095990	1195015	1114855	1329200	1989385	2431825	2664070	3291625	3253530	3179500	3158615	3124200	3102000	3138375	3158510	3153145	3156960	3127170	3066822	3010518	2855343
"Dividends - franking credit"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.332e+09	3.8e+09	1.442e+09	1.581e+09	1.493e+09	1.724e+09	2.045e+09	2.839e+09	2546662168	2674863996	3075503927	3363646252	3897561039	4683948868	3537670899	4180653212	4911566061	5752031686	6552242985	8073905501	8509972026	8662624383	7939115606	8863897688	8793875898	9133263431	9770219955
"Employee share schemes - discount from taxed upfront schemes - eligible for reduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83965	153630	166499	184115	198243
"Employee share schemes - discount from taxed upfront schemes - eligible for reduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84725673	170208173	166598971	173429113	192786575
"Employee share schemes - discount from taxed upfront schemes - not eligible for reduction"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10885	11215	12421	12200	13534
"Employee share schemes - discount from taxed upfront schemes - not eligible for reduction"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144721510	111203154	98387794	120004045	134372103
"Employee share schemes - discount from deferral schemes"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4730	25060	41270	81267	74313
"Employee share schemes - discount from deferral schemes"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117254028	573991937	1016366602	2143758883	2579816826
"Employee share schemes - Discount on ESS Interests acquired pre 1 July 2009 and ‘cessation time’ occurred during financial year"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41385	43255	36103	21710	17486
"Employee share schemes - Discount on ESS Interests acquired pre 1 July 2009 and ‘cessation time’ occurred during financial year"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1435976280	1751282162	1289954873	825479750	521358409
"Employee share schemes - TFN amounts withheld from discounts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195	670	551	269	374
"Employee share schemes - TFN amounts withheld from discounts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	388012	924698	674152	4020128	4579944
"Employee share schemes - foreign source discounts"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260	370	666	857	939
"Employee share schemes - foreign source discounts"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10914989	18748125	24971198	49713252	76937237
"Employee share schemes - total assessable discount"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6045	57690	86895	86740	114438	106225
"Employee share schemes - total assessable discount"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121178365	1716699541	2472848030	2440931387	3121762370	3269012802
"Total supplement income or loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4706460	4847675	4631315	4791400	5008755	5019962	4971675	4811017
"Total supplement income or loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83214011701	84503374044	73625992375	80146064112	88470073775	89653562522	93688197930	102330117473
"Total Income or Loss2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12401780	12886875	12729125	12879055	13110025	13305378	13165647	12906814
"Total Income or Loss2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.21832e+11	2.34246e+11	2.49308e+11	274678842614	290027340577	306426378841	321360167922	348854939540	356070315208	368697577495	388239211578	419835401618	453002143433	488634174528	566246339823	600894119100	612462321199	637544293764	693508653589	735659086960	763047694452	775921964197
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Deductions"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Work-related car expenses - cents per kilometre"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2303615	2439470	2459335	2559735	2672430	2805417	2834458	2876233
"Work-related car expenses - cents per kilometre"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3539830252	3879754815	4251145528	4508883500	4770842791	5097254847	5244440288	5509760509
"Work-related car expenses - 12 percent of original value"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32250	34600	34885	35435	36940	38769	40068	40386
"Work-related car expenses - 12 percent of original value"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153400115	163162052	166639665	170866802	179715120	190811136	199395557	205567837
"Work related car expenses - one-third of actual expense"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10740	11720	11180	12045	12965	13461	13199	15379
"Work related car expenses - one-third of actual expense"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33064387	37987804	36387267	37909739	40921861	42996340	42496078	47472040
"Work-related car expenses - logbook"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	267325	283055	276155	279405	287025	295883	297483	299308
"Work-related car expenses - logbook"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2238608291	2481073518	2458575439	2485361480	2618858750	2730326170	2747371935	2795961216
"Work-related car expenses - code blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47710	43545	36490	37165	33125	27984	16504	12970
"Work-related car expenses - code blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71323476	66587423	58527194	60328778	55822110	48741706	29909659	24028595
"Total work-related car expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1251060	1133580	1198020	1306055	1439265	1505990	1567610	1647515	1806945	1939330	2093695	2224935	2353365	2454495	2548490	2661640	2812390	2818040	2923785	3042485	3181514	3201712	3244276
"Total work-related car expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.547e+09	1.535e+09	1.613e+09	1.855e+09	2153674442	2256707623	2445571601	2620775912	3118485024	3634605973	3972950000	4316145747	4684766428	5000689005	5508067545	6036226521	6628565612	6971275093	7263350299	7666160632	8110130199	8263613517	8582790197
"Work-related travel expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	501190	427030	400650	404485	457005	443130	442270	454535	497750	527095	565055	604315	647525	704685	753995	812280	895310	915750	1068790	1158330	1212800	1215249	1224299
"Work-related travel expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.47e+08	4.29e+08	4.33e+08	4.39e+08	519494654	502957151	508477124	581930770	679860272	762986812	816692469	887579732	964716529	1072954489	1201356181	1324142814	1505578586	1570326327	1736867249	1911787517	2051767400	2031986050	2070765056
"Work-related uniform/clothing expenses - protective clothing"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1924540	2014180	2000875	2019960	2069380	2149426	2121114	2111107
"Work-related uniform/clothing expenses - protective clothing"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	494915799	536256873	546216067	564534653	589290463	620970736	622955950	638438787
"Work-related uniform/clothing expenses - compulsory work uniform"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2668090	2864430	2886225	2944260	3033735	3129143	3108240	3074034
"Work-related uniform/clothing expenses - compulsory work uniform"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	613579840	671668152	686662142	717909917	744009779	769866495	771255720	775618239
"Work related uniform/clothing expenses - non-compulsory work uniform"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356280	389810	407345	428550	444770	464110	469362	487726
"Work related uniform/clothing expenses - non-compulsory work uniform"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68251661	76120407	80099952	86221668	89854693	94669030	96516677	103065333
"Work related uniform/clothing expenses - occupation-specific clothing"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	431625	470895	487725	478825	493085	507255	510541	497924
"Work related uniform/clothing expenses - occupation-specific clothing"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	119869546	133057086	140010575	141337046	147594845	152920565	155781821	155984035
"Work-related uniform/clothing expenses - code blank"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180355	165775	132395	126830	115360	93464	52187	40596
"Work-related uniform/clothing expenses - code blank"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40869706	39673563	33884824	35214995	31534233	25658707	14657405	11210088
"Total work-related uniform/clothing expenses"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3609975	3234200	3032635	3193560	3404915	3471830	3569215	3718220	3978840	4139675	4470445	4632900	4869855	5116225	5332905	5560895	5905090	5914565	5998425	6156330	6343398	6261444	6211387
"Total work-related uniform/clothing expenses"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.34e+08	6.35e+08	5.45e+08	5.75e+08	629757234	641794834	669847625	711778067	794023027	851878284	1127293984	1031993180	1110895143	1182056524	1263559059	1337486552	1456776081	1486873560	1545218279	1602284013	1664085533	1661167573	1684316482
"Work-related self-education expenses - maintaining or improving skill"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	416690	457710	466590	460135	471695	487765	468048	469515
"Work-related self-education expenses - maintaining or improving skill"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	722499374	811525474	854955454	852330434	893185245	915084264	893234925	875946573
"Work-related self-education expenses - study leading to increased income from work"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66450	67575	68805	79390	85460	87400	81362	91718
"Work-related self-education expenses - study leading to increased income from work"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134308614	141410601	148292431	173454156	188074752	195972541	188452302	209197945
"Work-related self-education expenses - other"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9840	8685	9845	20125	17855	19640	19136	26637
"Work-related self-education expenses - other"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14038535	12901336	14777085	31197088	31537152	31261041	29565237	37212820
