"Selected items"	"unit"	"1978-79"	"1979-80"	"1980-81"	"1981-82"	"1982-83"	"1983-84"	"1984-85"	"1985-86"	"1986-87"	"1987-88"	"1988-89"	"1989-90"	"1990-91"	"1991-92"	"1992-93"	"1993-94"	"1994-95"	"1995-96"	"1996-97"	"1997-98"	"1998-99"	"1999-00"	"2000-01"	"2001-02"	"2002-03"	"2003-04"	"2004-05"	"2005-06"	"2006-07"	"2007-08"	"2008-09"	"2009-10"	"2010-11"	"2011-12"	"2012-13"	"2013-14"
"Small business and general business tax break"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	759067198	1007808642	39972211	1414991	NA	NA
"Landcare operations and business deduction for decline in value of water facility"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4175	1645	1780	1635	1445	1400	3385	3525	3300	2770	2470	2330	2190	2150	2080	2220	2085	2110	1990	1760	1624	1408	1411
"Landcare operations and business deduction for decline in value of water facility"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1e+07	5e+06	4e+06	5e+06	5058620	4816823	15271371	13852914	13561990	11915571	9891341	9894480	10544878	10221032	10446133	12012326	11971852	11305181	10437309	9037544	6777175	6026107	6552958
"Income reconciliation adjustments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8730	8045	10405	13535	15845	17440	18330	19590	20045	21965	27095	25250	24238	20854	16710
"Income reconciliation adjustments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-38075893	-50447570	-121354463	-72742630	-66736975	-50349039	-28244693	-49486410	13542012	-1097765055	-2495024916	-1495240278	-7958152692	-4761633366	-190313422
"Expense reconciliation adjustments"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18930	19485	33360	38665	41155	44015	41985	41600	38830	40115	40705	39895	40083	40062	38828
"Expense reconciliation adjustments"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20945728	24778347	18455677	4982225	-19246531	-59870059	-811393	15063815	-190689654	-13002556	-7243642	11632102	39158122	-14640784	8113300
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Net income or loss from business this year – primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	135090	129660	117365	112305	105920	101854	101777	93720
"Net income or loss from business this year – primary production2"	"$"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1668528524	-1137746504	-1186844264	-839584121	-368692401	-496996660	-568005751	-363449709
"Net income or loss from business this year – non-primary production2"	"no."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	996450	1038400	1031580	1074050	1098845	1106784	1099248	1070467
